2023137005, Theft, 100 BLOCK  S SEVENTH ST, 06/10,2023 @ 01:29
2023136993, 911, 200 BLOCK  E TEXAS AVE, 06/10,2023 @ 00:59
2023136989, Theft, 1700 BLOCK  STANFORD DR, 06/10,2023 @ 00:54
2023136979, 911, 2000 BLOCK  HOLLY AVE, 06/10,2023 @ 00:21
2023138407, 911, 0 BLOCK  NAVAHO AVE, 06/11,2023 @ 23:59
2023138389, 911, 4800 BLOCK  PARIS RD, 06/11,2023 @ 23:39
2023138385, Drug Crime, 2300 BLOCK  WHITE GATE DR, 06/11,2023 @ 23:35
2023138383, 911, 1000 BLOCK  CLAUDELL LN, 06/11,2023 @ 23:26
2023138379, Disturbance, 400 BLOCK  GLENSTONE DR, 06/11,2023 @ 23:11
2023138374, 911, 2000 BLOCK  DOGWOOD LN, 06/11,2023 @ 22:54
2023138362, Disturbance, 2200 BLOCK  POWELL DR, 06/11,2023 @ 22:24
2023138357, Disturbance, 600 BLOCK  N ANN ST, 06/11,2023 @ 22:15
2023138353, Trespassing, 1800 BLOCK  W BROADWAY, 06/11,2023 @ 22:06
2023138339, 911, 1400 BLOCK  PARKADE BLVD, 06/11,2023 @ 21:43
2023138324, 911, 500 BLOCK  VIEUX CARRE CT, 06/11,2023 @ 21:16
2023138322, 911, 100 BLOCK  CONLEY RD, 06/11,2023 @ 21:11
2023138320, Disturbance, 1300 BLOCK  GODAS DR, 06/11,2023 @ 21:11
2023138308, Disturbance, 2100 BLOCK  HOLLY AVE, 06/11,2023 @ 20:59
2023138305, 911, 4100 BLOCK  PARIS RD, 06/11,2023 @ 20:52
2023138303, Theft, 3900 BLOCK  DEERFOOT WAY, 06/11,2023 @ 20:46
2023138302, 911, 400 BLOCK  CONLEY RD, 06/11,2023 @ 20:46
2023138300, Theft, 2300 BLOCK  BERNADETTE DR, 06/11,2023 @ 20:42
2023138298, 911, 3200 BLOCK  WIND RIVER CIR, 06/11,2023 @ 20:39
2023138297, Trespassing, 100 BLOCK  S PROVIDENCE RD, 06/11,2023 @ 20:38
2023138285, 911, 700 BLOCK  BLUE RIDGE RD, 06/11,2023 @ 20:18
2023138281, 911, 300 BLOCK  W FOREST AVE, 06/11,2023 @ 20:13
2023138274, Vandalism, 3300 BLOCK  VANDIVER DR, 06/11,2023 @ 20:06
2023138273, Disturbance, 1300 BLOCK  GODAS DR, 06/11,2023 @ 20:06
2023138271, 911, 3300 BLOCK  BLACK HILLS DR, 06/11,2023 @ 20:04
2023138266, Trespassing, 0 BLOCK  CONLEY RD, 06/11,2023 @ 19:58
2023138265, Trespassing, 5700 BLOCK  BULL RUN DR, 06/11,2023 @ 19:54
2023138263, Theft, 1500 BLOCK  BOYD LN, 06/11,2023 @ 19:51
2023138250, 911, 1800 BLOCK  HOLLY AVE, 06/11,2023 @ 19:34
2023138245, 911, 0 BLOCK  S OLD 63, 06/11,2023 @ 19:26
2023138236, Assault, 300 BLOCK  PENDLETON WALKWAY, 06/11,2023 @ 19:21
2023138212, Harassment, 500 BLOCK  RED FEATHER CT, 06/11,2023 @ 18:54
2023138196, Disturbance, 2500 BLOCK  CALICO LN, 06/11,2023 @ 18:36
2023138187, 911, 200 BLOCK  E TEXAS AVE, 06/11,2023 @ 18:20
2023138182, Trespassing, 100 BLOCK  W ASH ST, 06/11,2023 @ 18:13
2023138164, 911, 1200 BLOCK  INTERNATIONAL DR, 06/11,2023 @ 17:52
2023138157, Harassment, 100 BLOCK  CONLEY RD, 06/11,2023 @ 17:46
2023138153, Harassment, 3500 BLOCK  TEAKWOOD CT, 06/11,2023 @ 17:42
2023138149, 911, 7-A N SIXTH ST, 06/11,2023 @ 17:35
2023138142, 911, 200 BLOCK  E NIFONG BLVD, 06/11,2023 @ 17:26
2023138141, Disturbance, 700 BLOCK  FAIRVIEW AVE, 06/11,2023 @ 17:25
